,species,chemical,conc (mol/L),species_divisions,species_others,subClassOf,smiles,smiles_clusters
3454,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/629970,2.7675898735952593,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,CCCCCCCCCCCCCCCCCCCCCC,0
3455,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/64197,2.4044730151895877,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_36587,CC(=O)O,1
3456,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/65271809,3.2601897055729445,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,0
3457,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/67470,3.419239590749654,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,C1=C(OC(=C1)C=O)CO,1
3458,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/67561,0.9884388258302906,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_134179,CO,1
3459,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/67641,0.7360259066497266,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_134179,CC(=O)C,1
3460,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/67663,2.2630168209605706,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_134179,C(Cl)(Cl)Cl,1
3461,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/67685,0.12724956133751347,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_134179,CS(=O)C,1
3462,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/67721,4.140837834956983,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_134179,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,1
3463,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/68122,0.7033196174224287,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_134179,CN(C)C=O,1
3464,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/69727,2.3929441616805334,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,C1=CC=C(C(=C1)C(=O)O)O,3
3465,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/70458967,1.2310170693477311,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,0
3466,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/71238,0.9524960629006284,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,CCCO,1
3467,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/71432,2.2778094217725307,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_134179,C1=CC=CC=C1,1
3468,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/7173515,6.302653150210944,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-],0
3469,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/74839,4.63043712113656,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,CBr,1
3470,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/75058,1.3458980329928623,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_134179,CC#N,1
3471,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/75081,5.5620758379757405,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,CCS,1
3472,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/75092,2.500790346015123,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_134179,C(Cl)Cl,1
3473,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/75150,4.558274173131458,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,C(=S)=S,1
3474,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/75218,2.2204633553146502,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,C1CO1,1
3475,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/75252,3.6950883396771865,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,C(Br)(Br)Br,1
3476,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/75354,3.3259603556212216,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_134179,C=C(Cl)Cl,1
3477,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/76017,2.7056894691781306,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_134179,C(C(Cl)(Cl)Cl)(Cl)Cl,1
3478,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/76039,1.7624874833644009,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_36587,C(=O)(C(Cl)(Cl)Cl)O,1
3479,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/7631905,3.008850557748618,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,[Na+].[O-]S(=O)O,1
3480,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/77098,2.644011738588192,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,0
3481,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/7785708,4.975575400668582,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,CC1=CCC2CC1C2(C)C,3
3482,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/78933,2.1416788602936085,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_134179,CCC(=O)C,1
3483,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/79016,3.4234598747021496,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_134179,C(=C(Cl)Cl)Cl,1
3484,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/79061,2.5614500008821723,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,C=CC(=O)N,1
3485,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/79094,3.1704788083671875,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_36587,CCC(=O)O,1
3486,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/79925,3.6024589757215764,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,CC1(C2CCC(C2)C1=C)C,3
3487,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/80057,3.250943874169077,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,3
3488,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/83329,3.8453179516620364,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,C1CC2=CC=CC3=C2C1=CC=C3,3
3489,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/84662,3.5947092608718982,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,CCOC(=O)C1=CC=CC=C1C(=O)OCC,3
3490,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/84742,3.864498590384613,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,0
3491,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/86748,4.697861463931038,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,C1=CC=C2C(=C1)C3=CC=CC=C3N2,3
3492,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/88891,3.1765599491724545,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_35716,C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],1
3493,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/89838,3.671242287239694,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,CC1=CC(=C(C=C1)C(C)C)O,3
3494,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/90028,4.391886324033361,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,C1=CC=C(C(=C1)C=O)O,3
3495,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/91203,3.2685745806395783,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,C1=CC=C2C=CC=CC2=C1,3
